,0,1,2,3,4,5,6,7
0,-1,-2,1,-2,-1,-1,-1,0
1,-2,1,-3,-1,0,1,-1,-1
2,0,-1,0,-2,-1,-1,0,1
3,0,0,-3,-4,-2,1,-1,-1
4,-1,-4,-1,-2,-1,-3,-2,-2
5,0,0,0,0,-1,-1,-3,-1
6,-1,-4,-1,0,-1,-1,-2,0
7,0,-1,-1,0,0,0,0,-1
8,0,-2,-1,0,0,-2,0,-1
9,0,0,-1,-3,-1,-1,-2,0
10,-2,0,-2,0,0,0,0,-1
11,1,0,0,-1,0,0,-2,0
12,-2,-6,-1,0,-1,-1,-2,-1
13,-2,0,-1,-1,-1,0,-2,-1
14,-3,-2,-4,-2,-3,-2,0,-3
15,-1,-1,-2,-2,-2,0,0,-1
16,-1,-2,1,0,0,-2,-1,-1
17,0,-4,-1,-1,-1,0,-3,-1
18,0,1,1,0,-1,-1,-2,-1
19,-3,-2,-3,0,-2,-2,-1,-1
20,0,-1,-1,-1,0,-2,0,0
21,-1,-1,-1,1,0,0,-1,-1
22,0,0,0,-3,-1,-1,-1,0
23,-3,-1,-1,-1,-1,-1,0,-1
24,-1,1,-2,-1,1,-1,-1,-3
25,-1,1,-1,-1,-1,-1,0,0
26,-2,3,-2,-1,-1,-2,-1,-2
27,1,-3,0,-2,-1,-3,-2,-1
28,-1,0,-2,-1,-1,-1,0,0
29,0,-3,-1,-1,-1,-1,-1,-1
30,-1,-2,-2,-1,-2,0,-1,-1
31,-2,-1,-2,-2,0,-1,-2,0
32,-2,1,-1,-1,-2,-1,-2,-1
33,-1,-2,-1,-1,-1,-2,0,0
34,1,-1,-1,-1,-1,-1,0,0
35,0,1,-2,-1,-3,1,-1,-2
36,0,-2,1,-1,0,1,-1,-2
37,-1,-1,-2,0,-1,-1,-1,-1
38,-1,-1,-3,0,-2,-2,-2,-2
39,-2,-1,0,1,-2,0,-1,1
40,-2,-1,-2,-1,-1,1,-2,-2
41,0,-1,-3,-2,-1,-1,1,-1
42,-1,-1,0,-1,-2,-1,-1,0
43,-1,-2,-3,-1,1,0,-3,-2
44,-1,-2,-2,-1,-1,-1,-2,0
45,-2,0,-1,1,-1,-2,-2,-2
46,-2,-3,-1,-3,-2,-1,-1,0
47,-1,0,1,-1,-1,-2,-1,0
48,-1,0,-1,-3,-2,-1,-3,-2
49,0,-2,0,-2,-2,-1,-2,0
50,-1,-3,0,0,-1,-1,0,-1
51,0,-2,-1,-2,-2,-1,-3,-1
52,-1,0,-2,-2,-2,-1,-1,0
53,-1,0,-2,1,-2,0,-1,-1
54,0,-1,0,-1,0,-1,-3,-1
55,-2,-1,-1,-1,-1,-2,-1,0
56,-2,-2,-1,0,0,-2,-1,-3
57,-2,-6,-3,-2,-1,-2,0,-3
58,-1,5,0,-1,-1,0,-1,0
59,-1,-2,0,-1,-1,0,-1,-3
60,-3,-4,-3,1,0,0,-1,1
61,0,1,0,0,-1,0,-1,0
62,-3,-3,-2,0,0,-1,0,0
63,-1,-2,-2,0,-1,-1,-1,-2
64,-2,-1,0,-2,-2,-2,-2,-1
65,-2,-1,-2,-1,0,-1,-2,0
66,-3,-2,-3,-1,1,0,-2,-2
67,-1,1,-3,-1,-1,-1,-1,0
68,0,-3,0,-1,-1,-1,-2,-1
69,0,0,0,-3,0,-2,-1,-2
70,0,-2,0,-1,-1,-1,1,-1
71,-1,-2,-3,0,-2,-1,1,-2
72,0,2,-2,-1,-1,0,-1,-2
73,0,1,1,-1,1,-1,-1,0
74,-1,-2,0,-1,0,0,0,-1
75,-2,-1,-1,-1,1,-2,0,-2
76,0,-1,0,0,-3,-1,-1,0
77,-1,-1,-2,-1,-3,0,-1,1
78,-2,-1,-2,-1,-2,-2,-1,-1
79,0,0,-3,-1,1,-1,-2,-1
80,-2,0,-1,0,-1,-3,-1,-3
81,0,-3,-1,-2,-2,-3,-2,-1
82,1,-3,-2,0,0,-1,-1,-1
83,-1,0,-2,0,-1,-2,-2,-1
84,0,-2,-2,-3,-1,-1,0,-1
85,-1,-2,-1,-2,0,0,-1,-1
86,-1,-2,1,-1,-2,-2,-3,-2
87,-1,-2,-1,-1,0,1,0,0
88,1,-1,-1,2,-3,0,-1,-1
89,-1,2,-1,-1,-2,-1,-1,-3
90,-2,0,-1,-2,0,2,-1,-1
91,-2,-2,-1,-1,-1,0,-2,-2
92,-3,-2,-1,0,0,-1,-2,-1
93,0,1,-1,-1,-2,-3,-1,0
94,-1,-2,-3,-1,-1,-2,0,0
95,1,-6,-1,-4,-2,-1,-3,2
96,-1,6,0,-2,-2,-1,-1,0
97,0,-2,-3,1,-1,-2,-1,-1
98,-2,-2,-1,-1,0,-1,-2,-2
99,0,3,-1,-1,-2,-1,-1,-2
100,-1,-3,-1,-1,-2,-1,-2,-1
101,-2,-1,-2,-1,-2,0,-1,-1
102,0,-2,1,-1,-2,-2,-1,0
103,-1,-5,0,0,-2,0,-1,0
104,-1,-1,-1,-2,-1,0,-1,-2
105,-1,0,-2,0,-1,0,-1,-1
106,0,-2,-2,0,1,-1,-2,-1
107,-2,-2,-2,-1,0,-2,0,-1
108,0,-1,-1,-1,-2,-1,-1,0
109,1,-4,-2,-1,0,0,-1,1
110,0,0,0,-2,-2,-1,0,0
111,-2,1,-1,0,-1,-1,-2,-2
112,0,-2,-1,1,0,-3,-1,-2
113,-2,0,0,-1,-2,-3,0,0
114,-1,0,-3,-1,-1,-2,-2,0
115,-1,-1,1,-2,-1,-1,2,0
116,-3,-2,-2,0,-1,-1,0,0
117,-1,-1,-1,-1,-1,-1,-2,-1
118,-1,-1,-1,-1,-2,-2,0,0
119,0,0,-2,-1,-1,-1,-1,-3
120,0,-4,0,-2,-1,-1,-2,-1
121,-2,-3,-1,-1,0,-1,0,-2
122,-1,2,1,-1,-2,1,0,-2
123,-3,-1,-2,0,-2,-2,-2,-2
124,0,-1,-2,-2,-1,-1,-1,0
125,-2,1,-3,-2,0,-1,0,-1
126,-3,-5,-2,-3,0,0,-1,-2
127,0,1,-1,0,-3,0,-1,-2
128,0,-1,-1,-1,1,0,-2,-2
129,-1,-2,1,0,-3,-1,-3,-2
130,-1,-1,-2,-1,0,-2,-2,0
131,-1,-3,-2,-1,-1,-2,0,0
132,-2,1,-2,-3,-1,1,1,-1
133,0,0,1,-2,-1,-1,0,-1
134,0,-1,-1,0,-1,-2,0,0
135,-1,1,-1,-1,0,-2,-2,-2
136,-2,-2,0,-1,-1,-1,-1,0
137,0,0,0,-1,1,-1,1,0
138,-1,0,-1,-3,-2,-1,-1,-2
139,0,-1,-1,-2,0,-1,-2,0
140,-1,0,-1,-1,-2,0,-2,-1
141,0,3,-2,0,-1,0,-2,-2
