-3,-2,-1,-2,-1,-10,-20,-7
1,0,0,-2,-2,-4,-16,7
-3,-1,-1,0,2,24,41,2
-4,-3,-4,-6,-12,-40,-90,-5
-2,-1,-2,-1,5,-10,45,2
-3,-2,-1,-4,1,34,-17,-4
0,-2,-2,-1,3,27,19,2
-5,-3,-2,-3,-7,-23,-51,-7
0,0,0,1,0,-2,9,-1
1,-1,1,2,4,-2,-13,3
1,0,-1,0,1,34,45,3
-4,-3,-3,-2,-6,-32,-21,-13
0,0,0,-1,2,13,33,3
-4,-1,-1,-3,-5,-15,-31,1
0,0,-2,3,-1,-20,33,1
2,-1,1,2,7,2,39,7
-1,-3,-2,-2,-1,16,-44,-9
1,1,-1,-1,0,-16,-2,9
-2,-1,0,-2,-2,-21,-29,-4
0,1,0,-1,-1,-1,23,0
-1,-1,-1,-1,-4,-2,3,1
-2,-1,-1,-3,-6,-9,-4,-5
0,0,1,1,3,23,-2,0
-3,-2,-1,-2,-5,-4,-45,-3
0,-1,-2,-3,2,36,29,3
-2,-3,-3,-2,-6,-10,-7,-18
-3,0,-1,-2,-6,-3,-44,-3
3,0,1,1,2,-1,6,-8
-1,0,-1,0,2,-22,4,1
-4,0,-3,-3,-4,-37,10,-2
0,-2,-1,1,7,34,24,3
-3,-3,-2,-3,-9,-4,13,-7
1,-1,1,-1,-1,-19,-27,5
0,-2,-2,-1,5,16,24,-2
0,-1,0,-1,-5,-14,-31,1
-2,0,-4,-1,2,-9,-4,-1
1,0,0,-2,2,29,15,4
-1,0,0,3,-4,-6,-12,-3
-1,-2,-5,0,1,21,25,2
0,-1,0,-3,-4,4,22,4
-5,-4,-4,-2,-5,-32,-40,-4
-1,-2,0,0,-3,-14,10,-9
-1,1,-1,0,2,-3,64,4
3,-1,2,-2,-2,-37,-28,4
0,0,-3,1,0,7,4,-1
-2,-1,0,-1,-1,23,-1,4
-5,-3,-3,-6,-10,-35,-69,-13
2,2,0,5,14,27,70,8
