-21,20,1,-5,1,1,-9,-2
-33,6,26,2,3,12,-28,-30
-1,-10,-37,1,-2,19,41,11
4,9,52,9,-1,-22,-35,-4
-7,24,33,-1,-3,8,23,21
-6,-28,-31,-6,-1,-4,15,28
19,-13,-56,-14,5,-4,-4,-17
4,11,23,9,5,19,15,6
-13,-6,30,-3,-16,-10,5,6
48,21,-5,-6,2,-24,-22,-7
17,5,7,-1,-4,-11,-5,13
-51,-4,5,3,10,29,4,-11
-43,-6,-2,-5,-2,-17,-32,-37
4,18,13,-2,-9,-9,-29,-9
-71,0,3,1,-1,-18,33,-14
39,-23,-71,-16,-10,-22,27,-2
7,8,38,9,12,28,51,9
-6,11,24,8,0,-6,-13,-10
40,17,21,8,4,-5,-21,12
-24,11,0,4,-8,-9,3,12
17,19,-2,10,11,46,36,15
-35,-32,-10,-10,-3,-10,1,-33
11,23,26,-1,-3,4,15,17
22,7,14,-1,-1,-17,9,0
-24,2,4,-1,3,12,-11,15
-12,-2,-11,6,4,10,13,7
41,25,40,4,-3,3,-27,-14
4,-1,18,-2,-7,-4,-52,-1
-63,-22,-50,-5,5,0,59,-20
-9,0,14,1,0,-6,-10,-11
7,12,0,9,-3,-8,-22,-1
22,-4,-13,-2,1,23,44,27
-6,18,-17,-8,-7,-5,-21,-16
-5,-1,-12,-3,-7,-14,5,-5
8,-11,-38,-8,1,7,6,1
1,10,2,9,3,-1,4,-4
14,-23,-27,-16,-15,-41,-34,-14
14,3,-9,-7,6,37,-7,12
-5,-6,-30,-1,0,-6,-2,2
11,-1,11,1,-4,-16,-53,-16
28,-7,21,4,-6,-15,2,23
-10,-4,-20,-3,-1,0,-11,-3
-4,-14,-6,-5,2,21,15,5
-2,-2,4,2,3,-6,-10,-7
7,10,19,-4,-5,1,10,-1
2,-3,2,5,3,-8,6,-7
-21,-14,-31,-10,-8,3,-25,-3
-36,6,-23,-1,3,-3,10,-13
18,4,15,3,3,5,-9,-12
-55,-11,-10,-6,1,20,20,-11
-6,7,14,6,6,1,-7,7
13,12,-17,-4,-2,-12,27,2
-10,17,22,8,0,-4,-13,-5
47,-21,-46,-11,1,8,-37,20
-11,0,24,2,3,12,-19,8
-3,-7,-11,-6,-5,-6,-43,-10
18,11,1,2,2,11,45,17
13,-5,5,3,-10,-38,-25,-7
68,2,6,-6,-1,12,-28,10
63,14,38,9,0,-2,38,7
-48,-16,-16,-6,6,13,-11,-12
-85,0,45,1,-9,-6,8,-32
9,-23,-25,-3,-1,-30,6,16
-27,-3,-7,0,4,30,-16,11
0,2,-2,-1,1,-10,-34,-15
-16,4,29,9,-1,0,17,0
17,18,8,0,-7,-18,7,17
55,4,-24,-2,-3,25,-12,-9
-2,1,-17,6,7,14,29,9
-28,0,6,-2,0,-8,-13,2
-4,15,23,2,0,-3,0,-30
-84,-38,-54,-5,6,14,50,-1
-10,-13,-14,-11,-12,-14,-55,-25
-6,-3,24,9,3,9,23,1
-29,-11,0,-1,3,22,29,15
-35,-17,20,-2,-6,-25,51,-4
-13,-11,-4,-1,-2,-4,-27,-12
32,-13,-24,-11,-4,-15,-3,12
-65,-34,-27,-12,-12,-40,-32,-32
-7,21,60,11,3,24,10,-12
9,-23,-46,-14,-10,-1,9,12
31,5,-11,0,-3,-12,5,4
10,4,11,1,-3,0,20,-11
9,23,31,2,-3,-20,-34,-21
35,-3,21,6,-5,-10,-10,17
7,-7,-50,-5,1,3,33,11
11,2,-6,-2,7,39,-17,-6
25,-3,-17,-5,-5,-32,-20,0
13,-1,4,-1,-5,5,5,6
-26,-3,-5,-1,-1,2,8,-9
-17,18,59,5,0,4,-70,-35
-40,-7,13,2,2,-4,43,29
52,22,69,11,7,4,2,-2
-10,22,-9,0,1,3,-21,-34
-39,-22,-91,-14,0,-2,28,17
-9,1,-4,-6,-2,1,-18,-26
-40,10,14,-4,0,3,-21,-11
-24,-28,-38,-3,2,7,33,-3
14,-8,13,-4,-5,-4,-3,-5
7,0,-37,0,1,-7,-49,-10
-2,-12,-16,-5,-2,-15,7,-2
26,5,7,-5,-6,-1,-17,3
10,3,-28,-4,1,12,41,10
4,5,18,1,-4,-8,-20,11
2,-4,-14,-3,-2,12,15,-20
7,15,37,0,-2,-16,-33,22
16,0,19,4,-3,-16,36,14
18,12,47,10,12,50,0,-3
35,-1,-10,-7,-2,4,-13,-6
-10,-11,-17,-6,-10,-25,-4,1
14,29,-22,-4,0,12,-8,-5
14,-8,-33,-6,-4,-14,-19,-16
33,-3,-30,-6,2,10,1,47
-43,-21,-13,-12,0,9,6,8
18,39,51,6,-2,-15,-19,-19
-30,-29,-47,-5,-2,7,30,12
12,-7,6,0,1,6,48,-1
-4,14,13,5,0,-12,-31,21
6,-8,-2,4,3,23,47,25
12,-10,-14,-5,-6,-23,-21,5
-15,6,-5,-2,-1,0,10,-3
36,16,46,13,4,6,18,-19
-12,-8,23,2,0,-7,-20,23
12,12,32,4,-5,-11,-1,12
-70,2,28,7,4,18,10,-12
12,1,-25,-6,0,0,-24,-16
-43,-10,-20,-4,-1,2,38,-9
2,4,-3,-10,-12,-8,-20,20
-67,-22,-40,-8,-9,-39,0,9
78,13,30,4,1,5,-11,-9
-7,-4,13,4,5,26,-25,0
12,23,15,1,3,-10,36,24
-25,-13,0,1,-4,-13,-12,-4
-22,-9,4,0,1,11,-8,-2
41,5,17,4,-8,-28,31,37
33,-14,-19,-7,-3,3,3,13
14,-1,-16,-6,0,13,-30,-35
-3,0,3,4,0,3,19,27
1,9,14,-2,-5,-14,-19,-24
-42,-1,20,3,2,8,-12,-28
17,11,4,1,-2,-10,12,2
-45,-23,-48,-9,-5,-14,13,-6
5,-14,-32,-5,-5,-11,12,-4
14,11,19,6,5,3,1,-10
-48,-17,-30,-12,-2,0,-35,8
4,17,25,8,-1,9,-7,-16
15,-23,-48,-7,-1,-7,-34,-15
14,-24,-37,-10,-8,-18,27,25
-16,11,31,4,1,3,-31,-13
26,33,40,11,9,13,5,10
3,-17,-1,2,-2,-7,-34,-19
-31,-7,-24,-4,0,18,19,5
35,-12,-49,-13,-9,-30,-28,-6
6,4,14,5,2,7,23,47
19,6,4,-4,0,10,-17,-12
2,12,8,1,6,-2,-3,-3
27,0,25,5,0,3,35,3
-8,3,7,0,-3,2,-11,-5
-10,-11,12,-1,-3,-8,-1,11
20,-1,7,-2,-10,-25,-5,-1
13,13,-7,3,4,-7,-19,1
14,-7,0,-6,-1,8,19,-32
-7,10,6,-1,3,16,29,6
-15,-14,-12,-2,0,11,-1,-3
53,28,20,5,0,-3,-75,-15
54,-12,-60,-7,0,-6,67,73
-43,-9,6,-2,-2,-10,9,-46
-2,32,37,6,3,10,-38,1
-14,-6,0,-2,6,25,43,7
-31,-4,34,0,-2,-11,-40,-18
63,1,-11,-6,-5,-27,-7,12
26,8,-13,-3,1,15,12,10
-23,-6,19,4,4,26,65,8
-6,-10,-14,-8,-7,-22,-43,-20
-19,-9,-16,0,2,17,17,-3
-12,-3,14,0,-5,-15,-17,-33
21,-6,-34,-6,-4,-5,14,21
-16,1,0,1,-3,-2,-3,-26
7,4,-3,0,0,0,16,-11
68,3,0,-5,-2,2,0,12
-71,-20,25,-2,-3,-9,-19,-13
73,21,22,1,0,-8,-2,4
0,9,8,2,-3,15,-4,-5
